repo,project,references,referencePath,crossRepo
NuGet.Client,NuGet.Frameworks.Test,NuGet.Packaging,src/NuGet.Core/NuGet.Packaging/NuGet.Packaging.csproj,False
NuGet.Client,NuGet.CommandLine.Xplat.Tests,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.CommandLine.Xplat.Tests,NuGet.CommandLine.XPlat,src/NuGet.Core/NuGet.CommandLine.XPlat/NuGet.CommandLine.XPlat.csproj,False
NuGet.Client,NuGet.Common.Test,NuGet.Common,src/NuGet.Core/NuGet.Common/NuGet.Common.csproj,False
NuGet.Client,NuGet.Common.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.PackageManagement.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.PackageManagement.Test,NuGet.PackageManagement,src/NuGet.Core/NuGet.PackageManagement/NuGet.PackageManagement.csproj,False
NuGet.Client,NuGet.PackageManagement.Test,VisualStudio.Test.Utility,test/TestUtilities/VisualStudio.Test.Utility/VisualStudio.Test.Utility.csproj,False
NuGet.Client,NuGet.PackageManagement.Test,NuGet.VisualStudio.Common,src/NuGet.Clients/NuGet.VisualStudio.Common/NuGet.VisualStudio.Common.csproj,False
NuGet.Client,NuGet.PackageManagement.Test,NuGet.PackageManagement.VisualStudio,src/NuGet.Clients/NuGet.PackageManagement.VisualStudio/NuGet.PackageManagement.VisualStudio.csproj,False
NuGet.Client,NuGet.DependencyResolver.Core.Tests,NuGet.DependencyResolver.Core,src/NuGet.Core/NuGet.DependencyResolver.Core/NuGet.DependencyResolver.Core.csproj,False
NuGet.Client,NuGet.DependencyResolver.Core.Tests,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Build.Tasks.Console.Test,NuGet.Build.Tasks.Console,src/NuGet.Core/NuGet.Build.Tasks.Console/NuGet.Build.Tasks.Console.csproj,False
NuGet.Client,NuGet.Build.Tasks.Console.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.ProjectModel.Test,NuGet.ProjectModel,src/NuGet.Core/NuGet.ProjectModel/NuGet.ProjectModel.csproj,False
NuGet.Client,NuGet.ProjectModel.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Commands.Test,NuGet.Commands,src/NuGet.Core/NuGet.Commands/NuGet.Commands.csproj,False
NuGet.Client,NuGet.Commands.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Commands.Test,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Credentials.Test,NuGet.Credentials,src/NuGet.Core/NuGet.Credentials/NuGet.Credentials.csproj,False
NuGet.Client,NuGet.Credentials.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.LibraryModel.Tests,NuGet.LibraryModel,src/NuGet.Core/NuGet.LibraryModel/NuGet.LibraryModel.csproj,False
NuGet.Client,NuGet.Versioning.Test,NuGet.Versioning,src/NuGet.Core/NuGet.Versioning/NuGet.Versioning.csproj,False
NuGet.Client,NuGet.Versioning.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Resolver.Test,NuGet.Resolver,src/NuGet.Core/NuGet.Resolver/NuGet.Resolver.csproj,False
