repo,project,package,version
src,KurrentDB.AutoScavenge,NCrontab,
src,KurrentDB.Common,GitInfo,
src,KurrentDB.Common,NetEscapades.Configuration.Yaml,
src,KurrentDB.Common,Newtonsoft.Json,
src,KurrentDB.Common,OpenTelemetry,
src,KurrentDB.Common,Grpc.Net.Common,
src,KurrentDB.Common,Serilog,
src,KurrentDB.Common,Serilog.Enrichers.Process,
src,KurrentDB.Common,Serilog.Enrichers.Thread,
src,KurrentDB.Common,Serilog.Expressions,
src,KurrentDB.Common,Serilog.Extensions.Logging,
src,KurrentDB.Common,Serilog.Settings.Configuration,
src,KurrentDB.Common,Serilog.Sinks.Async,
src,KurrentDB.Common,Serilog.Sinks.File,
src,KurrentDB.Common,Serilog.Sinks.Seq,
src,KurrentDB.Common,Serilog.Sinks.Console,
src,KurrentDB.Common,System.Security.Cryptography.Pkcs,
src,KurrentDB.Common,YamlDotnet,
src,KurrentDB.AutoScavenge.Tests,Bogus,
src,KurrentDB.AutoScavenge.Tests,Microsoft.AspNetCore.Mvc.Testing,
src,KurrentDB.AutoScavenge.Tests,System.Linq.Async,
src,KurrentDB.Ammeter,RestSharp,
src,KurrentDB.Ammeter,Testcontainers,
src,KurrentDB.Ammeter,Microsoft.Extensions.Configuration,
src,KurrentDB.SchemaRegistry,FluentValidation.DependencyInjectionExtensions,
src,KurrentDB.SchemaRegistry,Grpc.AspNetCore,
src,KurrentDB.SchemaRegistry,Kurrent.Quack,
src,KurrentDB.SchemaRegistry,Kurrent.Surge.DuckDB,
src,KurrentDB.SchemaRegistry,Kurrent.Surge.Core,
src,KurrentDB.SchemaRegistry,NJsonSchema,
src,KurrentDB.SchemaRegistry.Tests,Kurrent.Surge,
src,KurrentDB.SchemaRegistry.Tests,Kurrent.Surge.DuckDB,
src,KurrentDB.SchemaRegistry.Tests,Shouldly,
src,KurrentDB.SchemaRegistry.Protocol,Google.Protobuf,
src,KurrentDB.SchemaRegistry.Protocol,Grpc.Net.ClientFactory,
src,KurrentDB.SchemaRegistry.Protocol,Grpc.StatusProto,
src,KurrentDB.SchemaRegistry.Protocol,Grpc.Tools,
src,KurrentDB.SecondaryIndexing.LoadTesting,Dapper,
src,KurrentDB.SecondaryIndexing.LoadTesting,KurrentDB.Client,
src,KurrentDB.Auth.Ldaps,Novell.Directory.Ldap.NETStandard,
src,KurrentDB.Auth.Ldaps,System.ComponentModel.Composition,
src,KurrentDB.Auth.Ldaps,Serilog,
src,KurrentDB.DuckDB,Kurrent.Quack,
src,KurrentDB.DuckDB,Microsoft.Extensions.DependencyInjection.Abstractions,
src,KurrentDB.DuckDB,Serilog,
src,KurrentDB.Logging,OpenTelemetry.Exporter.OpenTelemetryProtocol,
src,KurrentDB.Logging,Serilog.Expressions,
src,KurrentDB.Logging,Serilog.Sinks.OpenTelemetry,
src,KurrentDB.Logging,System.Reactive,
src,KurrentDB.BufferManagement.Tests,Newtonsoft.Json,
src,KurrentDB.Diagnostics.LogsEndpointPlugin.Tests,FluentAssertions,
src,KurrentDB.LogV3.Tests,Newtonsoft.Json,
src,KurrentDB.LogV3.Tests,ObjectLayoutInspector,
src,KurrentDB.SourceGenerators.Tests,Microsoft.CodeAnalysis.CSharp.SourceGenerators.Testing,
src,KurrentDB.SourceGenerators.Tests,Microsoft.CodeAnalysis.CSharp.Workspaces,
src,KurrentDB.SourceGenerators.Tests,Newtonsoft.Json,
src,KurrentDB.SourceGenerators.Tests,NuGet.Protocol,
src,KurrentDB.TestClient,EventStore.Client,
src,KurrentDB.TestClient,EventStore.Client.Grpc.Streams,
src,KurrentDB.TestClient,Google.Protobuf,
src,KurrentDB.TestClient,Grpc.Net.Client,
src,KurrentDB.TestClient,Grpc.Tools,
src,KurrentDB.TestClient,System.CommandLine.DragonFruit,
src,KurrentDB.Core.XUnit.Tests,TestableIO.System.IO.Abstractions,
src,KurrentDB.Core.XUnit.Tests,TestableIO.System.IO.Abstractions.TestingHelpers,
src,KurrentDB.Core.XUnit.Tests,Microsoft.Extensions.Diagnostics.Testing,
src,KurrentDB.Core.XUnit.Tests,System.Linq.Async,
src,KurrentDB.Auth.OAuth.Tests,Ductus.FluentDocker.XUnit,
src,KurrentDB.Auth.OAuth.Tests,EventStore.Client,
src,KurrentDB.Auth.OAuth.Tests,EventStore.Client.Grpc.Streams,
src,KurrentDB.Auth.OAuth.Tests,Microsoft.AspNetCore.TestHost,
src,KurrentDB.Auth.OAuth.Tests,Polly,
src,KurrentDB.Auth.OAuth.Tests,System.Linq.Async,
src,KurrentDB.SecondaryIndexing,Grpc.Tools,
src,KurrentDB.SecondaryIndexing,Kurrent.Quack,
src,KurrentDB.SecondaryIndexing,Kurrent.Surge.Core,
src,KurrentDB.SecondaryIndexing,Eventuous.Application,
src,KurrentDB.SecondaryIndexing,Eventuous.Extensions.DependencyInjection,
src,KurrentDB.SecondaryIndexing,Microsoft.AspNetCore.Grpc.JsonTranscoding,
src,KurrentDB.SecondaryIndexing,System.Linq.Async,
src,KurrentDB.SecondaryIndexing,Jint,
src,KurrentDB.Surge.Tests,System.Linq.Async,
src,KurrentDB.Core.TUnit.Tests,Grpc.Net.Client,
src,KurrentDB.Core.TUnit.Tests,Grpc.StatusProto,
src,KurrentDB.Core.TUnit.Tests,Microsoft.Extensions.Diagnostics.Testing,
src,KurrentDB.UI,Microsoft.AspNetCore.Components.WebAssembly,
src,KurrentDB.UI,Microsoft.AspNetCore.Components.WebAssembly.Authentication,
src,KurrentDB.UI,Extensions.MudBlazor.StaticInput,
src,KurrentDB.UI,MudBlazor,
src,KurrentDB.Testing.ClusterVNodeApp,Grpc.Net.Client,
src,KurrentDB.Testing.ClusterVNodeApp,OpenTelemetry.Exporter.OpenTelemetryProtocol,
src,KurrentDB.Testing.ClusterVNodeApp,RestSharp,
src,KurrentDB.Testing.ClusterVNodeApp,Testcontainers,
src,KurrentDB.Testing.ClusterVNodeApp,Grpc.Tools,
src,KurrentDB.Core,Kurrent.Quack,
src,KurrentDB.Core,FluentStorage,
src,KurrentDB.Core,FluentStorage.AWS,
src,KurrentDB.Core,Azure.Storage.Blobs,
src,KurrentDB.Core,Azure.Identity,
src,KurrentDB.Core,Google.Cloud.Storage.V1,
src,KurrentDB.Core,Google.Protobuf,
src,KurrentDB.Core,Grpc.AspNetCore,
src,KurrentDB.Core,Grpc.Tools,
src,KurrentDB.Core,librdkafka.redist,
src,KurrentDB.Core,Microsoft.FASTER.Core,
src,KurrentDB.Core,Microsoft.AspNetCore.Authentication.OpenIdConnect,
src,KurrentDB.Core,Microsoft.IdentityModel.Protocols.OpenIdConnect,
src,KurrentDB.Core,OpenTelemetry.Exporter.Prometheus.AspNetCore,
src,KurrentDB.Core,OpenTelemetry.Extensions.Hosting,
src,KurrentDB.Core,OpenTelemetry.Instrumentation.AspNetCore,
src,KurrentDB.Core,Polly.Core,
src,KurrentDB.Core,Quickenshtein,
src,KurrentDB.Core,System.Diagnostics.PerformanceCounter,
src,KurrentDB.Core,System.Linq.Async,
src,KurrentDB.Core,Microsoft.Diagnostics.NETCore.Client,
src,KurrentDB.Core,Microsoft.Diagnostics.Tracing.TraceEvent,
src,KurrentDB.Core,Microsoft.Data.Sqlite,
src,KurrentDB.Core,DotNext.IO,
src,KurrentDB.Core,DotNext.Threading,
src,KurrentDB.Core,DotNext.Unsafe,
src,KurrentDB.Core,Scrutor,
src,KurrentDB.SecondaryIndexing.Tests,Bogus,
src,KurrentDB.SecondaryIndexing.Tests,Microsoft.AspNetCore.Mvc.Testing,
src,KurrentDB.SecondaryIndexing.Tests,NSubstitute,
