repo,project,references,referencePath,crossRepo
akka.net,DDataStressTest,Akka.DistributedData,src/contrib/cluster/Akka.DistributedData/Akka.DistributedData.csproj,False
akka.net,StreamsExamples,Akka.Streams,src/core/Akka.Streams/Akka.Streams.csproj,False
akka.net,StreamsExamples,Akka,src/core/Akka/Akka.csproj,False
akka.net,TcpEchoService.Server,Akka,src/core/Akka/Akka.csproj,False
akka.net,HelloAkka,Akka,src/core/Akka/Akka.csproj,False
akka.net,Routing,Akka,src/core/Akka/Akka.csproj,False
akka.net,AkkaWindowsService,Akka.DependencyInjection,src/contrib/dependencyinjection/Akka.DependencyInjection/Akka.DependencyInjection.csproj,False
akka.net,AkkaWindowsService,Akka,src/core/Akka/Akka.csproj,False
akka.net,PersistenceExample,Akka.Persistence,src/core/Akka.Persistence/Akka.Persistence.csproj,False
akka.net,HelloWorld,Akka,src/core/Akka/Akka.csproj,False
akka.net,AkkaHeadlesssService,Akka.DependencyInjection,src/contrib/dependencyinjection/Akka.DependencyInjection/Akka.DependencyInjection.csproj,False
akka.net,AkkaHeadlesssService,Akka,src/core/Akka/Akka.csproj,False
akka.net,SymbolLookup,Akka,src/core/Akka/Akka.csproj,False
akka.net,ChatClient,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,ChatClient,ChatMessages,src/examples/Chat/ChatMessages/ChatMessages.csproj,False
akka.net,ChatServer,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,ChatServer,ChatMessages,src/examples/Chat/ChatMessages/ChatMessages.csproj,False
akka.net,ChatMessages,Akka,src/core/Akka/Akka.csproj,False
akka.net,AppConfig,Akka.Persistence.Sqlite,src/contrib/persistence/Akka.Persistence.Sqlite/Akka.Persistence.Sqlite.csproj,False
akka.net,FaultTolerance,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Persistence.Tests,Akka.Serialization.Hyperion,src/contrib/serializers/Akka.Serialization.Hyperion/Akka.Serialization.Hyperion.csproj,False
akka.net,Akka.Persistence.Tests,Akka.Persistence.TestKit.Xunit2,src/core/Akka.Persistence.TestKit.Xunit2/Akka.Persistence.TestKit.Xunit2.csproj,False
akka.net,Akka.Persistence.Tests,Akka.Persistence,src/core/Akka.Persistence/Akka.Persistence.csproj,False
akka.net,Akka.Persistence.Tests,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Persistence.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Tests.Performance,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Tests.Performance,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.Docs.Tests,Akka.Cluster.Metrics,src/contrib/cluster/Akka.Cluster.Metrics/Akka.Cluster.Metrics.csproj,False
akka.net,Akka.Docs.Tests,Akka.Coordination.Tests,src/core/Akka.Coordination.Tests/Akka.Coordination.Tests.csproj,False
akka.net,Akka.Docs.Tests,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Docs.Tests,Akka.Persistence,src/core/Akka.Persistence/Akka.Persistence.csproj,False
